method,mean_success,ci95_success,mean_slip,ci95_slip,drop_rate,collision_rate,unsafe_force_rate,mean_energy,sampled_candidates,episodes,seeds
full_ebm_transformer_compositional_v5,0.1889,0.0405,0.0795,0.0049,0.5444,0.6194,0.0000,2.9544,1.00,360,8
monolithic_scalar_energy_only,0.2389,0.0441,0.0842,0.0053,0.4778,0.6167,0.0000,2.8549,1.00,360,8
no_calibrated_stack,0.1333,0.0352,0.0805,0.0048,0.6000,0.6194,0.0000,2.9002,1.00,360,8
no_cem_fallback,0.1889,0.0405,0.0790,0.0050,0.5444,0.6194,0.0000,2.9637,1.00,360,8
no_collision_energy,0.1861,0.0403,0.0783,0.0049,0.5444,0.6250,0.0000,2.9706,1.00,360,8
no_contact_energy,0.2250,0.0432,0.0781,0.0049,0.5083,0.6250,0.0000,2.9646,1.00,360,8
no_feasibility_energy,0.1889,0.0405,0.0788,0.0049,0.5417,0.6167,0.0000,2.9663,1.00,360,8
no_hard_collision_filter,0.1889,0.0405,0.0793,0.0049,0.5444,0.6194,0.0000,2.9605,1.00,360,8
no_object_energy,0.1917,0.0407,0.0788,0.0050,0.5389,0.6194,0.0000,2.9730,1.00,360,8
no_robust_perturbation,0.2028,0.0416,0.0791,0.0050,0.5000,0.6167,0.0000,3.0132,1.00,360,8
no_task_energy,0.1889,0.0405,0.0796,0.0049,0.5472,0.6250,0.0000,2.9481,1.00,360,8
no_transformer_context,0.1833,0.0400,0.0796,0.0049,0.5361,0.6222,0.0000,2.9745,1.00,360,8
old_v4_compositional,0.1583,0.0378,0.0797,0.0053,0.5611,0.6111,0.0000,2.9450,1.00,360,8
