method,split,mean_success,ci95_success,mean_slip,ci95_slip,drop_rate,collision_rate,unsafe_force_rate,mean_energy,sampled_candidates,episodes,seeds
full_ebm_transformer_compositional_v5,adversarial_clutter_gap,0.0083,0.0163,0.0869,0.0098,0.7333,0.9833,0.0000,3.0630,1.00,120,8
full_ebm_transformer_compositional_v5,combined_composition_shift,0.0667,0.0448,0.0861,0.0093,0.4083,0.8750,0.0000,3.4890,1.00,120,8
full_ebm_transformer_compositional_v5,material_shift_proxy,0.4917,0.0898,0.0655,0.0053,0.4917,0.0000,0.0000,2.3114,1.00,120,8
monolithic_scalar_energy_only,adversarial_clutter_gap,0.0083,0.0163,0.0957,0.0114,0.7333,0.9833,0.0000,2.7034,1.00,120,8
monolithic_scalar_energy_only,combined_composition_shift,0.0583,0.0421,0.0862,0.0087,0.4417,0.8667,0.0000,3.5715,1.00,120,8
monolithic_scalar_energy_only,material_shift_proxy,0.6500,0.0857,0.0707,0.0064,0.2583,0.0000,0.0000,2.2898,1.00,120,8
no_calibrated_stack,adversarial_clutter_gap,0.0083,0.0163,0.0888,0.0098,0.7500,0.9833,0.0000,3.0270,1.00,120,8
no_calibrated_stack,combined_composition_shift,0.0500,0.0392,0.0858,0.0089,0.4083,0.8750,0.0000,3.5329,1.00,120,8
no_calibrated_stack,material_shift_proxy,0.3417,0.0852,0.0670,0.0052,0.6417,0.0000,0.0000,2.1408,1.00,120,8
no_cem_fallback,adversarial_clutter_gap,0.0083,0.0163,0.0863,0.0099,0.7333,0.9833,0.0000,3.0794,1.00,120,8
no_cem_fallback,combined_composition_shift,0.0667,0.0448,0.0851,0.0093,0.4083,0.8750,0.0000,3.5004,1.00,120,8
no_cem_fallback,material_shift_proxy,0.4917,0.0898,0.0655,0.0053,0.4917,0.0000,0.0000,2.3114,1.00,120,8
no_collision_energy,adversarial_clutter_gap,0.0083,0.0163,0.0853,0.0100,0.7333,0.9833,0.0000,3.0850,1.00,120,8
no_collision_energy,combined_composition_shift,0.0583,0.0421,0.0842,0.0092,0.4083,0.8917,0.0000,3.5156,1.00,120,8
no_collision_energy,material_shift_proxy,0.4917,0.0898,0.0655,0.0053,0.4917,0.0000,0.0000,2.3114,1.00,120,8
no_contact_energy,adversarial_clutter_gap,0.0083,0.0163,0.0862,0.0098,0.7333,0.9833,0.0000,3.0840,1.00,120,8
no_contact_energy,combined_composition_shift,0.0667,0.0448,0.0860,0.0090,0.4083,0.8917,0.0000,3.5180,1.00,120,8
no_contact_energy,material_shift_proxy,0.6000,0.0880,0.0621,0.0052,0.3833,0.0000,0.0000,2.2918,1.00,120,8
no_feasibility_energy,adversarial_clutter_gap,0.0083,0.0163,0.0863,0.0098,0.7333,0.9750,0.0000,3.0853,1.00,120,8
no_feasibility_energy,combined_composition_shift,0.0667,0.0448,0.0848,0.0094,0.4000,0.8750,0.0000,3.5114,1.00,120,8
no_feasibility_energy,material_shift_proxy,0.4917,0.0898,0.0653,0.0052,0.4917,0.0000,0.0000,2.3023,1.00,120,8
no_hard_collision_filter,adversarial_clutter_gap,0.0083,0.0163,0.0871,0.0099,0.7333,0.9833,0.0000,3.0708,1.00,120,8
no_hard_collision_filter,combined_composition_shift,0.0667,0.0448,0.0853,0.0093,0.4083,0.8750,0.0000,3.4994,1.00,120,8
no_hard_collision_filter,material_shift_proxy,0.4917,0.0898,0.0655,0.0053,0.4917,0.0000,0.0000,2.3114,1.00,120,8
no_object_energy,adversarial_clutter_gap,0.0083,0.0163,0.0870,0.0099,0.7333,0.9833,0.0000,3.0557,1.00,120,8
no_object_energy,combined_composition_shift,0.0583,0.0421,0.0847,0.0094,0.4000,0.8750,0.0000,3.5371,1.00,120,8
no_object_energy,material_shift_proxy,0.5083,0.0898,0.0646,0.0052,0.4833,0.0000,0.0000,2.3260,1.00,120,8
no_robust_perturbation,adversarial_clutter_gap,0.0083,0.0163,0.0869,0.0101,0.6833,0.9750,0.0000,3.1019,1.00,120,8
no_robust_perturbation,combined_composition_shift,0.0583,0.0421,0.0849,0.0093,0.3917,0.8750,0.0000,3.6821,1.00,120,8
no_robust_perturbation,material_shift_proxy,0.5417,0.0895,0.0655,0.0055,0.4250,0.0000,0.0000,2.2555,1.00,120,8
no_task_energy,adversarial_clutter_gap,0.0083,0.0163,0.0875,0.0099,0.7500,0.9833,0.0000,3.0585,1.00,120,8
no_task_energy,combined_composition_shift,0.0583,0.0421,0.0853,0.0092,0.4167,0.8917,0.0000,3.4744,1.00,120,8
no_task_energy,material_shift_proxy,0.5000,0.0898,0.0660,0.0054,0.4750,0.0000,0.0000,2.3113,1.00,120,8
no_transformer_context,adversarial_clutter_gap,0.0083,0.0163,0.0862,0.0099,0.7250,0.9833,0.0000,3.0655,1.00,120,8
no_transformer_context,combined_composition_shift,0.0667,0.0448,0.0843,0.0091,0.4000,0.8833,0.0000,3.5544,1.00,120,8
no_transformer_context,material_shift_proxy,0.4750,0.0897,0.0682,0.0057,0.4833,0.0000,0.0000,2.3037,1.00,120,8
old_v4_compositional,adversarial_clutter_gap,0.0167,0.0230,0.0862,0.0100,0.7083,0.9667,0.0000,3.0667,1.00,120,8
old_v4_compositional,combined_composition_shift,0.0500,0.0392,0.0880,0.0107,0.4083,0.8667,0.0000,3.6359,1.00,120,8
old_v4_compositional,material_shift_proxy,0.4083,0.0883,0.0650,0.0053,0.5667,0.0000,0.0000,2.1324,1.00,120,8
