split,baseline,mean_success_diff_vs_ebm,paired_t_approx,normal_approx_p,seeds
seen_simple,antipodal_geometry,0.1917,8.2049,0.0000,8
seen_simple,calibrated_stacked_ranker,0.0000,0.0000,1.0000,8
seen_simple,cem_grasp_search,0.1250,6.3568,0.0000,8
seen_simple,collision_aware_force_closure,0.0750,3.2111,0.0013,8
seen_simple,ebm_transformer_compositional,0.0167,1.5275,0.1266,8
seen_simple,ensemble_uncertainty_ranker,0.0000,0.0000,1.0000,8
seen_simple,force_closure_score,0.1000,7.9452,0.0000,8
seen_simple,gradient_boosted_energy_model,0.0000,0.0000,1.0000,8
seen_simple,mlp_energy_model,0.0000,0.0000,1.0000,8
seen_simple,oracle_mujoco_grid,0.0000,0.0000,1.0000,8
seen_simple,random_grasp,0.1333,3.0553,0.0022,8
seen_simple,robust_perturbation_ranker,0.0667,2.6462,0.0081,8
seen_simple,transformer_policy_ranker,0.0167,1.5275,0.1266,8
unseen_dimensions,antipodal_geometry,0.2333,6.5487,0.0000,8
unseen_dimensions,calibrated_stacked_ranker,-0.0333,-1.8712,0.0613,8
unseen_dimensions,cem_grasp_search,0.3250,8.8815,0.0000,8
unseen_dimensions,collision_aware_force_closure,0.2500,7.1274,0.0000,8
unseen_dimensions,ebm_transformer_compositional,0.0667,3.0554,0.0022,8
unseen_dimensions,ensemble_uncertainty_ranker,-0.0333,-1.8712,0.0613,8
unseen_dimensions,force_closure_score,0.3417,11.6317,0.0000,8
unseen_dimensions,gradient_boosted_energy_model,-0.0333,-1.8712,0.0613,8
unseen_dimensions,mlp_energy_model,0.0000,0.0000,1.0000,8
unseen_dimensions,oracle_mujoco_grid,-0.0167,-1.0000,0.3173,8
unseen_dimensions,random_grasp,0.5750,22.9956,0.0000,8
unseen_dimensions,robust_perturbation_ranker,0.2667,7.0564,0.0000,8
unseen_dimensions,transformer_policy_ranker,-0.0083,-0.4231,0.6722,8
unseen_shape_family,antipodal_geometry,0.6000,13.7486,0.0000,8
unseen_shape_family,calibrated_stacked_ranker,-0.0167,-1.5275,0.1266,8
unseen_shape_family,cem_grasp_search,0.0417,2.3756,0.0175,8
unseen_shape_family,collision_aware_force_closure,0.0583,3.8612,0.0001,8
unseen_shape_family,ebm_transformer_compositional,0.0667,2.6458,0.0082,8
unseen_shape_family,ensemble_uncertainty_ranker,-0.0167,-1.5275,0.1266,8
unseen_shape_family,force_closure_score,0.0750,4.9642,0.0000,8
unseen_shape_family,gradient_boosted_energy_model,-0.0250,-2.0494,0.0404,8
unseen_shape_family,mlp_energy_model,0.0583,2.1990,0.0279,8
unseen_shape_family,oracle_mujoco_grid,-0.0333,-1.8712,0.0613,8
unseen_shape_family,random_grasp,0.5750,13.7985,0.0000,8
unseen_shape_family,robust_perturbation_ranker,0.0417,2.3765,0.0175,8
unseen_shape_family,transformer_policy_ranker,0.0500,2.0494,0.0404,8
slippery_contact,antipodal_geometry,0.2083,3.4904,0.0005,8
slippery_contact,calibrated_stacked_ranker,-0.3583,-10.0929,0.0000,8
slippery_contact,cem_grasp_search,0.2750,4.0929,0.0000,8
slippery_contact,collision_aware_force_closure,0.2583,8.0804,0.0000,8
slippery_contact,ebm_transformer_compositional,-0.1000,-2.1219,0.0338,8
slippery_contact,ensemble_uncertainty_ranker,-0.3500,-8.8957,0.0000,8
slippery_contact,force_closure_score,0.2583,5.3953,0.0000,8
slippery_contact,gradient_boosted_energy_model,-0.3667,-13.0116,0.0000,8
slippery_contact,mlp_energy_model,-0.2750,-4.9513,0.0000,8
slippery_contact,oracle_mujoco_grid,-0.2667,-5.4647,0.0000,8
slippery_contact,random_grasp,0.1666,2.6452,0.0082,8
slippery_contact,robust_perturbation_ranker,0.2750,5.2271,0.0000,8
slippery_contact,transformer_policy_ranker,-0.3000,-7.9373,0.0000,8
clutter_collision,antipodal_geometry,0.0750,2.5527,0.0107,8
clutter_collision,calibrated_stacked_ranker,-0.0667,-2.0004,0.0455,8
clutter_collision,cem_grasp_search,0.0500,1.2102,0.2262,8
clutter_collision,collision_aware_force_closure,0.0500,1.5274,0.1267,8
clutter_collision,ebm_transformer_compositional,0.0250,1.1584,0.2467,8
clutter_collision,ensemble_uncertainty_ranker,-0.0083,-0.2151,0.8297,8
clutter_collision,force_closure_score,0.0750,2.3465,0.0190,8
clutter_collision,gradient_boosted_energy_model,-0.0333,-0.6235,0.5329,8
clutter_collision,mlp_energy_model,-0.0833,-3.9884,0.0001,8
clutter_collision,oracle_mujoco_grid,-0.4667,-13.0961,0.0000,8
clutter_collision,random_grasp,0.3167,7.6670,0.0000,8
clutter_collision,robust_perturbation_ranker,0.0583,1.5076,0.1317,8
clutter_collision,transformer_policy_ranker,0.0084,0.3146,0.7530,8
task_constraint_shift,antipodal_geometry,0.9250,61.2606,0.0000,8
task_constraint_shift,calibrated_stacked_ranker,-0.0083,-1.0000,0.3173,8
task_constraint_shift,cem_grasp_search,0.6833,24.8865,0.0000,8
task_constraint_shift,collision_aware_force_closure,0.8500,24.2334,0.0000,8
task_constraint_shift,ebm_transformer_compositional,0.0500,3.0004,0.0027,8
task_constraint_shift,ensemble_uncertainty_ranker,-0.0083,-1.0000,0.3173,8
task_constraint_shift,force_closure_score,0.7417,23.1988,0.0000,8
task_constraint_shift,gradient_boosted_energy_model,0.0000,0.0000,1.0000,8
task_constraint_shift,mlp_energy_model,0.0250,0.8929,0.3719,8
task_constraint_shift,oracle_mujoco_grid,0.0917,4.2465,0.0000,8
task_constraint_shift,random_grasp,0.8083,27.5142,0.0000,8
task_constraint_shift,robust_perturbation_ranker,0.8833,26.9864,0.0000,8
task_constraint_shift,transformer_policy_ranker,0.0583,2.4975,0.0125,8
combined_composition_shift,antipodal_geometry,0.0167,1.5275,0.1266,8
combined_composition_shift,calibrated_stacked_ranker,-0.0083,-1.0000,0.3173,8
combined_composition_shift,cem_grasp_search,0.0250,2.0494,0.0404,8
combined_composition_shift,collision_aware_force_closure,0.0167,1.5275,0.1266,8
combined_composition_shift,ebm_transformer_compositional,0.0167,1.0000,0.3173,8
combined_composition_shift,ensemble_uncertainty_ranker,-0.0083,-0.5523,0.5808,8
combined_composition_shift,force_closure_score,0.0000,0.0000,1.0000,8
combined_composition_shift,gradient_boosted_energy_model,0.0000,0.0005,0.9996,8
combined_composition_shift,mlp_energy_model,0.0167,1.5275,0.1266,8
combined_composition_shift,oracle_mujoco_grid,-0.1583,-5.6547,0.0000,8
combined_composition_shift,random_grasp,0.0583,2.9664,0.0030,8
combined_composition_shift,robust_perturbation_ranker,0.0250,2.0494,0.0404,8
combined_composition_shift,transformer_policy_ranker,0.0417,2.3761,0.0175,8
long_bar_high_aspect,antipodal_geometry,0.7000,12.7452,0.0000,8
long_bar_high_aspect,calibrated_stacked_ranker,-0.0917,-3.2743,0.0011,8
long_bar_high_aspect,cem_grasp_search,0.5583,18.1877,0.0000,8
long_bar_high_aspect,collision_aware_force_closure,0.8333,26.9994,0.0000,8
long_bar_high_aspect,ebm_transformer_compositional,0.0416,1.6658,0.0958,8
long_bar_high_aspect,ensemble_uncertainty_ranker,-0.0750,-2.1827,0.0291,8
long_bar_high_aspect,force_closure_score,0.6000,19.4390,0.0000,8
long_bar_high_aspect,gradient_boosted_energy_model,-0.0667,-1.9994,0.0456,8
long_bar_high_aspect,mlp_energy_model,-0.0167,-0.5515,0.5813,8
long_bar_high_aspect,oracle_mujoco_grid,-0.0167,-0.6073,0.5437,8
long_bar_high_aspect,random_grasp,0.7333,19.4036,0.0000,8
long_bar_high_aspect,robust_perturbation_ranker,0.8500,28.1348,0.0000,8
long_bar_high_aspect,transformer_policy_ranker,0.0250,0.6638,0.5068,8
thin_handle_shift,antipodal_geometry,0.9750,55.6045,0.0000,8
thin_handle_shift,calibrated_stacked_ranker,-0.0167,-1.5275,0.1266,8
thin_handle_shift,cem_grasp_search,0.0917,2.9863,0.0028,8
thin_handle_shift,collision_aware_force_closure,0.0750,2.3465,0.0190,8
thin_handle_shift,ebm_transformer_compositional,0.0583,3.8632,0.0001,8
thin_handle_shift,ensemble_uncertainty_ranker,-0.0167,-0.7975,0.4252,8
thin_handle_shift,force_closure_score,0.0833,5.0026,0.0000,8
thin_handle_shift,gradient_boosted_energy_model,-0.0250,-1.4258,0.1539,8
thin_handle_shift,mlp_energy_model,0.0000,0.0006,0.9995,8
thin_handle_shift,oracle_mujoco_grid,-0.0250,-1.4258,0.1539,8
thin_handle_shift,random_grasp,0.6333,12.5685,0.0000,8
thin_handle_shift,robust_perturbation_ranker,0.1084,3.8702,0.0001,8
thin_handle_shift,transformer_policy_ranker,0.0417,1.9311,0.0535,8
adversarial_clutter_gap,antipodal_geometry,0.0083,1.0000,0.3173,8
adversarial_clutter_gap,calibrated_stacked_ranker,0.0083,1.0000,0.3173,8
adversarial_clutter_gap,cem_grasp_search,0.0083,1.0000,0.3173,8
adversarial_clutter_gap,collision_aware_force_closure,0.0000,0.0000,1.0000,8
adversarial_clutter_gap,ebm_transformer_compositional,-0.0083,-1.0000,0.3173,8
adversarial_clutter_gap,ensemble_uncertainty_ranker,0.0083,1.0000,0.3173,8
adversarial_clutter_gap,force_closure_score,0.0083,1.0000,0.3173,8
adversarial_clutter_gap,gradient_boosted_energy_model,0.0083,1.0000,0.3173,8
adversarial_clutter_gap,mlp_energy_model,0.0083,1.0000,0.3173,8
adversarial_clutter_gap,oracle_mujoco_grid,-0.0583,-2.4970,0.0125,8
adversarial_clutter_gap,random_grasp,0.0000,0.0000,1.0000,8
adversarial_clutter_gap,robust_perturbation_ranker,0.0083,1.0000,0.3173,8
adversarial_clutter_gap,transformer_policy_ranker,0.0083,1.0000,0.3173,8
material_shift_proxy,antipodal_geometry,0.1667,1.8711,0.0613,8
material_shift_proxy,calibrated_stacked_ranker,-0.2000,-3.6420,0.0003,8
material_shift_proxy,cem_grasp_search,0.2417,3.0741,0.0021,8
material_shift_proxy,collision_aware_force_closure,0.1833,2.5828,0.0098,8
material_shift_proxy,ebm_transformer_compositional,0.0833,2.7594,0.0058,8
material_shift_proxy,ensemble_uncertainty_ranker,-0.3667,-6.3508,0.0000,8
material_shift_proxy,force_closure_score,0.2417,4.1928,0.0000,8
material_shift_proxy,gradient_boosted_energy_model,-0.3333,-4.7518,0.0000,8
material_shift_proxy,mlp_energy_model,0.0250,0.4237,0.6718,8
material_shift_proxy,oracle_mujoco_grid,-0.1917,-2.5926,0.0095,8
material_shift_proxy,random_grasp,0.3250,4.7551,0.0000,8
material_shift_proxy,robust_perturbation_ranker,0.2500,3.3190,0.0009,8
material_shift_proxy,transformer_policy_ranker,-0.0667,-1.3662,0.1719,8
