method,split,mean_success,ci95_success,mean_slip,ci95_slip,drop_rate,collision_rate,unsafe_force_rate,mean_energy,sampled_candidates,episodes,seeds
calibrated_stacked_ranker,long_bar_high_aspect,0.9750,0.0281,0.0512,0.0050,0.0167,0.0000,0.0000,1.6968,1.00,120,8
calibrated_stacked_ranker,material_shift_proxy,0.6917,0.0830,0.0640,0.0056,0.2500,0.0000,0.0000,2.1919,1.00,120,8
calibrated_stacked_ranker,seen_simple,1.0000,0.0000,0.0352,0.0041,0.0000,0.0000,0.0000,2.7584,1.00,120,8
calibrated_stacked_ranker,slippery_contact,0.9417,0.0421,0.0517,0.0041,0.0583,0.0000,0.0000,2.0968,1.00,120,8
calibrated_stacked_ranker,task_constraint_shift,1.0000,0.0000,0.0469,0.0048,0.0000,0.0000,0.0000,1.8376,1.00,120,8
calibrated_stacked_ranker,thin_handle_shift,0.9917,0.0163,0.0441,0.0050,0.0000,0.0000,0.0000,2.1879,1.00,120,8
calibrated_stacked_ranker,unseen_dimensions,1.0000,0.0000,0.0410,0.0049,0.0000,0.0000,0.0000,2.1550,1.00,120,8
calibrated_stacked_ranker,unseen_shape_family,0.9833,0.0230,0.0479,0.0051,0.0000,0.0000,0.0000,3.5507,1.00,120,8
cem_grasp_search,adversarial_clutter_gap,0.0000,0.0000,0.0835,0.0102,0.6917,0.9750,0.0000,3.1558,1.00,120,8
cem_grasp_search,clutter_collision,0.3583,0.0862,0.0587,0.0062,0.1500,0.6000,0.0000,2.6847,1.00,120,8
cem_grasp_search,combined_composition_shift,0.0417,0.0359,0.0892,0.0104,0.3833,0.9000,0.0000,3.7189,1.00,120,8
cem_grasp_search,long_bar_high_aspect,0.3250,0.0842,0.0620,0.0044,0.6417,0.0000,0.0000,0.8185,1.00,120,8
cem_grasp_search,material_shift_proxy,0.2500,0.0778,0.0806,0.0066,0.6833,0.0000,0.0000,2.0108,1.00,120,8
cem_grasp_search,seen_simple,0.8750,0.0594,0.0557,0.0063,0.0000,0.0000,0.0000,2.5755,1.00,120,8
cem_grasp_search,slippery_contact,0.3083,0.0830,0.0819,0.0069,0.6333,0.0000,0.0000,2.0271,1.00,120,8
cem_grasp_search,task_constraint_shift,0.3083,0.0830,0.0624,0.0047,0.6583,0.0000,0.0000,0.9224,1.00,120,8
cem_grasp_search,thin_handle_shift,0.8833,0.0577,0.0553,0.0059,0.0000,0.0000,0.0000,2.1673,1.00,120,8
cem_grasp_search,unseen_dimensions,0.6417,0.0862,0.0640,0.0073,0.2083,0.0000,0.0000,3.7898,1.00,120,8
cem_grasp_search,unseen_shape_family,0.9250,0.0473,0.0587,0.0056,0.0000,0.0000,0.0000,3.6107,1.00,120,8
collision_aware_force_closure,adversarial_clutter_gap,0.0083,0.0163,0.0820,0.0095,0.7167,0.9750,0.0000,3.1572,1.00,120,8
collision_aware_force_closure,clutter_collision,0.3583,0.0862,0.0603,0.0059,0.1583,0.6000,0.0000,2.6531,1.00,120,8
collision_aware_force_closure,combined_composition_shift,0.0500,0.0392,0.0890,0.0091,0.4250,0.9000,0.0000,3.4689,1.00,120,8
collision_aware_force_closure,long_bar_high_aspect,0.0500,0.0392,0.0632,0.0029,0.9500,0.0000,0.0000,0.6226,1.00,120,8
collision_aware_force_closure,material_shift_proxy,0.3083,0.0830,0.0751,0.0061,0.6333,0.0000,0.0000,2.0877,1.00,120,8
collision_aware_force_closure,seen_simple,0.9250,0.0473,0.0540,0.0062,0.0000,0.0000,0.0000,2.6709,1.00,120,8
collision_aware_force_closure,slippery_contact,0.3250,0.0842,0.0797,0.0067,0.6417,0.0000,0.0000,2.0471,1.00,120,8
collision_aware_force_closure,task_constraint_shift,0.1417,0.0627,0.0654,0.0040,0.8583,0.0000,0.0000,0.7744,1.00,120,8
collision_aware_force_closure,thin_handle_shift,0.9000,0.0539,0.0523,0.0059,0.0000,0.0000,0.0000,2.1451,1.00,120,8
collision_aware_force_closure,unseen_dimensions,0.7167,0.0810,0.0635,0.0073,0.1333,0.0000,0.0000,4.0279,1.00,120,8
collision_aware_force_closure,unseen_shape_family,0.9083,0.0518,0.0603,0.0058,0.0000,0.0000,0.0000,3.6165,1.00,120,8
ebm_transformer_compositional,adversarial_clutter_gap,0.0167,0.0230,0.0856,0.0097,0.7083,0.9750,0.0000,3.0456,1.00,120,8
ebm_transformer_compositional,clutter_collision,0.3833,0.0874,0.0570,0.0059,0.1167,0.5917,0.0000,2.6384,1.00,120,8
ebm_transformer_compositional,combined_composition_shift,0.0500,0.0392,0.0886,0.0108,0.4083,0.8750,0.0000,3.6633,1.00,120,8
ebm_transformer_compositional,long_bar_high_aspect,0.8417,0.0656,0.0557,0.0062,0.0250,0.0000,0.0000,1.6326,1.00,120,8
ebm_transformer_compositional,material_shift_proxy,0.4083,0.0883,0.0650,0.0053,0.5667,0.0000,0.0000,2.1324,1.00,120,8
ebm_transformer_compositional,seen_simple,0.9833,0.0230,0.0464,0.0053,0.0000,0.0000,0.0000,2.5922,1.00,120,8
ebm_transformer_compositional,slippery_contact,0.6833,0.0836,0.0590,0.0055,0.2750,0.0000,0.0000,2.1021,1.00,120,8
ebm_transformer_compositional,task_constraint_shift,0.9417,0.0421,0.0535,0.0053,0.0000,0.0000,0.0000,1.7108,1.00,120,8
ebm_transformer_compositional,thin_handle_shift,0.9167,0.0497,0.0529,0.0057,0.0000,0.0000,0.0000,2.2014,1.00,120,8
ebm_transformer_compositional,unseen_dimensions,0.9000,0.0539,0.0488,0.0060,0.0250,0.0000,0.0000,2.4204,1.00,120,8
ebm_transformer_compositional,unseen_shape_family,0.9000,0.0539,0.0570,0.0059,0.0000,0.0000,0.0000,3.6054,1.00,120,8
ebm_transformer_compositional_v5,adversarial_clutter_gap,0.0083,0.0163,0.0876,0.0098,0.7417,0.9833,0.0000,3.0602,1.00,120,8
ebm_transformer_compositional_v5,clutter_collision,0.4083,0.0883,0.0544,0.0063,0.1333,0.5750,0.0000,2.5885,1.00,120,8
ebm_transformer_compositional_v5,combined_composition_shift,0.0667,0.0448,0.0851,0.0091,0.4167,0.8833,0.0000,3.4932,1.00,120,8
ebm_transformer_compositional_v5,long_bar_high_aspect,0.8833,0.0577,0.0549,0.0054,0.0500,0.0000,0.0000,1.6922,1.00,120,8
ebm_transformer_compositional_v5,material_shift_proxy,0.4917,0.0898,0.0655,0.0053,0.4917,0.0000,0.0000,2.3114,1.00,120,8
ebm_transformer_compositional_v5,seen_simple,1.0000,0.0000,0.0406,0.0045,0.0000,0.0000,0.0000,2.7530,1.00,120,8
ebm_transformer_compositional_v5,slippery_contact,0.5833,0.0886,0.0659,0.0049,0.3917,0.0000,0.0000,2.1692,1.00,120,8
ebm_transformer_compositional_v5,task_constraint_shift,0.9917,0.0163,0.0486,0.0047,0.0000,0.0000,0.0000,1.7513,1.00,120,8
ebm_transformer_compositional_v5,thin_handle_shift,0.9750,0.0281,0.0473,0.0052,0.0000,0.0000,0.0000,2.2037,1.00,120,8
ebm_transformer_compositional_v5,unseen_dimensions,0.9667,0.0323,0.0392,0.0053,0.0167,0.0000,0.0000,3.0936,1.00,120,8
ebm_transformer_compositional_v5,unseen_shape_family,0.9667,0.0323,0.0510,0.0053,0.0000,0.0000,0.0000,3.6349,1.00,120,8
ensemble_uncertainty_ranker,adversarial_clutter_gap,0.0000,0.0000,0.0954,0.0102,0.7750,0.9917,0.0000,2.6528,1.00,120,8
ensemble_uncertainty_ranker,clutter_collision,0.4167,0.0886,0.0561,0.0062,0.1417,0.5417,0.0000,2.3875,1.00,120,8
ensemble_uncertainty_ranker,combined_composition_shift,0.0750,0.0473,0.0859,0.0107,0.5000,0.8500,0.0000,3.3299,1.00,120,8
ensemble_uncertainty_ranker,long_bar_high_aspect,0.9583,0.0359,0.0499,0.0050,0.0417,0.0000,0.0000,1.3781,1.00,120,8
ensemble_uncertainty_ranker,material_shift_proxy,0.8583,0.0627,0.0567,0.0053,0.0667,0.0000,0.0000,2.0325,1.00,120,8
ensemble_uncertainty_ranker,seen_simple,1.0000,0.0000,0.0406,0.0038,0.0000,0.0000,0.0000,2.5289,1.00,120,8
ensemble_uncertainty_ranker,slippery_contact,0.9333,0.0448,0.0587,0.0050,0.0250,0.0000,0.0000,1.9883,1.00,120,8
ensemble_uncertainty_ranker,task_constraint_shift,1.0000,0.0000,0.0472,0.0053,0.0000,0.0000,0.0000,1.6254,1.00,120,8
ensemble_uncertainty_ranker,thin_handle_shift,0.9917,0.0163,0.0458,0.0049,0.0000,0.0000,0.0000,2.1305,1.00,120,8
ensemble_uncertainty_ranker,unseen_dimensions,1.0000,0.0000,0.0460,0.0048,0.0000,0.0000,0.0000,1.9440,1.00,120,8
ensemble_uncertainty_ranker,unseen_shape_family,0.9833,0.0230,0.0549,0.0054,0.0000,0.0000,0.0000,3.3309,1.00,120,8
force_closure_score,adversarial_clutter_gap,0.0000,0.0000,0.0798,0.0074,0.7333,0.9917,0.0000,2.8491,1.00,120,8
force_closure_score,clutter_collision,0.3333,0.0847,0.0560,0.0059,0.2083,0.6500,0.0000,2.6365,1.00,120,8
force_closure_score,combined_composition_shift,0.0667,0.0448,0.0885,0.0106,0.4000,0.8750,0.0000,3.6557,1.00,120,8
force_closure_score,long_bar_high_aspect,0.2833,0.0810,0.0621,0.0043,0.6917,0.0000,0.0000,0.8074,1.00,120,8
force_closure_score,material_shift_proxy,0.2500,0.0778,0.0800,0.0066,0.6750,0.0000,0.0000,2.0201,1.00,120,8
force_closure_score,seen_simple,0.9000,0.0539,0.0547,0.0062,0.0000,0.0000,0.0000,2.4008,1.00,120,8
force_closure_score,slippery_contact,0.3250,0.0842,0.0814,0.0061,0.6250,0.0000,0.0000,1.9852,1.00,120,8
force_closure_score,task_constraint_shift,0.2500,0.0778,0.0634,0.0048,0.7250,0.0000,0.0000,0.8371,1.00,120,8
force_closure_score,thin_handle_shift,0.8917,0.0558,0.0529,0.0059,0.0083,0.0000,0.0000,2.0311,1.00,120,8
force_closure_score,unseen_dimensions,0.6250,0.0870,0.0637,0.0074,0.2083,0.0000,0.0000,3.8144,1.00,120,8
force_closure_score,unseen_shape_family,0.8917,0.0558,0.0582,0.0058,0.0000,0.0000,0.0000,3.4745,1.00,120,8
gradient_boosted_energy_model,adversarial_clutter_gap,0.0000,0.0000,0.0888,0.0078,0.7500,0.9750,0.0000,2.4313,1.00,120,8
gradient_boosted_energy_model,clutter_collision,0.4417,0.0892,0.0487,0.0045,0.1333,0.5417,0.0000,2.3956,1.00,120,8
gradient_boosted_energy_model,combined_composition_shift,0.0667,0.0448,0.0871,0.0115,0.4917,0.8667,0.0000,3.2225,1.00,120,8
gradient_boosted_energy_model,long_bar_high_aspect,0.9500,0.0392,0.0458,0.0048,0.0500,0.0000,0.0000,1.3743,1.00,120,8
gradient_boosted_energy_model,material_shift_proxy,0.8250,0.0683,0.0595,0.0048,0.1250,0.0000,0.0000,2.0071,1.00,120,8
gradient_boosted_energy_model,seen_simple,1.0000,0.0000,0.0337,0.0037,0.0000,0.0000,0.0000,2.4805,1.00,120,8
gradient_boosted_energy_model,slippery_contact,0.9500,0.0392,0.0539,0.0048,0.0333,0.0000,0.0000,2.0786,1.00,120,8
gradient_boosted_energy_model,task_constraint_shift,0.9917,0.0163,0.0400,0.0046,0.0083,0.0000,0.0000,1.5750,1.00,120,8
gradient_boosted_energy_model,thin_handle_shift,1.0000,0.0000,0.0439,0.0045,0.0000,0.0000,0.0000,2.0363,1.00,120,8
gradient_boosted_energy_model,unseen_dimensions,1.0000,0.0000,0.0427,0.0047,0.0000,0.0000,0.0000,2.0754,1.00,120,8
gradient_boosted_energy_model,unseen_shape_family,0.9917,0.0163,0.0488,0.0050,0.0000,0.0000,0.0000,3.2771,1.00,120,8
mlp_energy_model,adversarial_clutter_gap,0.0000,0.0000,0.0883,0.0085,0.8167,1.0000,0.0000,2.3846,1.00,120,8
mlp_energy_model,clutter_collision,0.4917,0.0898,0.0453,0.0060,0.1583,0.5000,0.0000,2.3141,1.00,120,8
mlp_energy_model,combined_composition_shift,0.0500,0.0392,0.0731,0.0091,0.4833,0.9500,0.0000,2.8514,1.00,120,8
mlp_energy_model,long_bar_high_aspect,0.9000,0.0539,0.0571,0.0062,0.0083,0.0000,0.0000,1.4673,1.00,120,8
mlp_energy_model,material_shift_proxy,0.4667,0.0896,0.0724,0.0063,0.4833,0.0000,0.0000,1.9064,1.00,120,8
mlp_energy_model,seen_simple,1.0000,0.0000,0.0292,0.0035,0.0000,0.0000,0.0000,2.1426,1.00,120,8
mlp_energy_model,slippery_contact,0.8583,0.0627,0.0538,0.0048,0.1250,0.0000,0.0000,1.9527,1.00,120,8
mlp_energy_model,task_constraint_shift,0.9667,0.0323,0.0404,0.0052,0.0000,0.0000,0.0000,1.5964,1.00,120,8
mlp_energy_model,thin_handle_shift,0.9750,0.0281,0.0441,0.0050,0.0000,0.0000,0.0000,1.8342,1.00,120,8
mlp_energy_model,unseen_dimensions,0.9667,0.0323,0.0382,0.0053,0.0083,0.0000,0.0000,2.1851,1.00,120,8
mlp_energy_model,unseen_shape_family,0.9083,0.0518,0.0374,0.0042,0.0000,0.0000,0.0000,3.2430,1.00,120,8
oracle_mujoco_grid,adversarial_clutter_gap,0.0667,0.0448,0.0508,0.0072,0.2333,0.9000,0.0000,4.2586,7.00,120,8
oracle_mujoco_grid,clutter_collision,0.8750,0.0594,0.0348,0.0051,0.0000,0.1167,0.0000,2.6042,7.00,120,8
oracle_mujoco_grid,combined_composition_shift,0.2250,0.0750,0.0455,0.0089,0.0333,0.7333,0.0000,4.5292,7.00,120,8
oracle_mujoco_grid,long_bar_high_aspect,0.9000,0.0539,0.0413,0.0049,0.0583,0.0000,0.0000,1.4411,7.00,120,8
oracle_mujoco_grid,material_shift_proxy,0.6833,0.0836,0.0550,0.0049,0.2417,0.0000,0.0000,2.4799,7.00,120,8
oracle_mujoco_grid,seen_simple,1.0000,0.0000,0.0153,0.0021,0.0000,0.0000,0.0000,2.5651,7.00,120,8
oracle_mujoco_grid,slippery_contact,0.8500,0.0642,0.0533,0.0044,0.1167,0.0000,0.0000,2.5080,7.00,120,8
oracle_mujoco_grid,task_constraint_shift,0.9000,0.0539,0.0396,0.0049,0.0667,0.0000,0.0000,1.6182,7.00,120,8
oracle_mujoco_grid,thin_handle_shift,1.0000,0.0000,0.0203,0.0027,0.0000,0.0000,0.0000,1.6267,7.00,120,8
oracle_mujoco_grid,unseen_dimensions,0.9833,0.0230,0.0254,0.0036,0.0083,0.0000,0.0000,3.1033,7.00,120,8
oracle_mujoco_grid,unseen_shape_family,1.0000,0.0000,0.0163,0.0018,0.0000,0.0000,0.0000,2.8637,7.00,120,8
random_grasp,adversarial_clutter_gap,0.0083,0.0163,0.0876,0.0063,0.8417,0.9917,0.0000,1.9657,1.00,120,8
random_grasp,clutter_collision,0.0917,0.0518,0.0644,0.0062,0.4583,0.9083,0.0000,1.7720,1.00,120,8
random_grasp,combined_composition_shift,0.0083,0.0163,0.0843,0.0090,0.6500,0.9833,0.0000,2.2182,1.00,120,8
random_grasp,long_bar_high_aspect,0.1500,0.0642,0.0967,0.0166,0.7917,0.0000,0.0000,1.2399,1.00,120,8
random_grasp,material_shift_proxy,0.1667,0.0670,0.0909,0.0066,0.8000,0.0000,0.0000,1.5463,1.00,120,8
random_grasp,seen_simple,0.8667,0.0611,0.0649,0.0062,0.0167,0.0000,0.0000,2.0303,1.00,120,8
random_grasp,slippery_contact,0.4167,0.0886,0.0867,0.0066,0.5250,0.0000,0.0000,1.7462,1.00,120,8
random_grasp,task_constraint_shift,0.1833,0.0695,0.0734,0.0065,0.6500,0.0000,0.0000,1.6493,1.00,120,8
random_grasp,thin_handle_shift,0.3417,0.0852,0.0774,0.0059,0.5333,0.0000,0.0000,1.3676,1.00,120,8
random_grasp,unseen_dimensions,0.3917,0.0877,0.0690,0.0061,0.5500,0.0000,0.0000,1.5534,1.00,120,8
random_grasp,unseen_shape_family,0.3917,0.0877,0.0672,0.0071,0.0667,0.0000,0.0000,2.5345,1.00,120,8
robust_perturbation_ranker,adversarial_clutter_gap,0.0000,0.0000,0.0860,0.0098,0.7333,0.9917,0.0000,3.0540,1.00,120,8
robust_perturbation_ranker,clutter_collision,0.3500,0.0857,0.0615,0.0059,0.1583,0.6083,0.0000,2.6520,1.00,120,8
robust_perturbation_ranker,combined_composition_shift,0.0417,0.0359,0.0881,0.0091,0.4333,0.8917,0.0000,3.3924,1.00,120,8
robust_perturbation_ranker,long_bar_high_aspect,0.0333,0.0323,0.0657,0.0031,0.9667,0.0000,0.0000,0.6107,1.00,120,8
robust_perturbation_ranker,material_shift_proxy,0.2417,0.0769,0.0778,0.0062,0.7250,0.0000,0.0000,2.0289,1.00,120,8
robust_perturbation_ranker,seen_simple,0.9333,0.0448,0.0555,0.0060,0.0000,0.0000,0.0000,2.7708,1.00,120,8
robust_perturbation_ranker,slippery_contact,0.3083,0.0830,0.0829,0.0068,0.6583,0.0000,0.0000,2.0580,1.00,120,8
robust_perturbation_ranker,task_constraint_shift,0.1083,0.0558,0.0682,0.0042,0.8917,0.0000,0.0000,0.7407,1.00,120,8
robust_perturbation_ranker,thin_handle_shift,0.8667,0.0611,0.0563,0.0063,0.0000,0.0000,0.0000,2.1973,1.00,120,8
robust_perturbation_ranker,unseen_dimensions,0.7000,0.0823,0.0646,0.0070,0.2333,0.0000,0.0000,3.6633,1.00,120,8
robust_perturbation_ranker,unseen_shape_family,0.9250,0.0473,0.0599,0.0058,0.0000,0.0000,0.0000,3.7128,1.00,120,8
transformer_policy_ranker,adversarial_clutter_gap,0.0000,0.0000,0.0852,0.0081,0.8000,0.9917,0.0000,2.0709,1.00,120,8
transformer_policy_ranker,clutter_collision,0.4000,0.0880,0.0579,0.0057,0.1000,0.5750,0.0000,2.6000,1.00,120,8
transformer_policy_ranker,combined_composition_shift,0.0250,0.0281,0.0736,0.0093,0.5083,0.9333,0.0000,2.7397,1.00,120,8
transformer_policy_ranker,long_bar_high_aspect,0.8583,0.0627,0.0572,0.0063,0.0167,0.0000,0.0000,1.5661,1.00,120,8
transformer_policy_ranker,material_shift_proxy,0.5583,0.0892,0.0610,0.0059,0.4167,0.0000,0.0000,2.0710,1.00,120,8
transformer_policy_ranker,seen_simple,0.9833,0.0230,0.0352,0.0047,0.0000,0.0000,0.0000,2.1123,1.00,120,8
transformer_policy_ranker,slippery_contact,0.8833,0.0577,0.0519,0.0043,0.1000,0.0000,0.0000,1.9288,1.00,120,8
transformer_policy_ranker,task_constraint_shift,0.9333,0.0448,0.0449,0.0059,0.0000,0.0000,0.0000,1.7070,1.00,120,8
transformer_policy_ranker,thin_handle_shift,0.9333,0.0448,0.0473,0.0053,0.0000,0.0000,0.0000,2.0807,1.00,120,8
transformer_policy_ranker,unseen_dimensions,0.9750,0.0281,0.0386,0.0049,0.0000,0.0000,0.0000,2.0618,1.00,120,8
transformer_policy_ranker,unseen_shape_family,0.9167,0.0497,0.0537,0.0058,0.0000,0.0000,0.0000,3.5191,1.00,120,8
