method,split,mean_success,ci95_success,mean_slip,ci95_slip,drop_rate,collision_rate,unsafe_force_rate,mean_energy,sampled_candidates,episodes,seeds
antipodal_geometry,adversarial_clutter_gap,0.0000,0.0000,0.0877,0.0078,0.7750,0.9833,0.0000,2.6713,1.00,120,8
antipodal_geometry,clutter_collision,0.3333,0.0847,0.0574,0.0065,0.1417,0.6333,0.0000,2.6593,1.00,120,8
antipodal_geometry,combined_composition_shift,0.0500,0.0392,0.0930,0.0106,0.4000,0.8667,0.0000,3.6416,1.00,120,8
antipodal_geometry,long_bar_high_aspect,0.1833,0.0695,0.0679,0.0041,0.7583,0.0000,0.0000,0.7489,1.00,120,8
antipodal_geometry,material_shift_proxy,0.3250,0.0842,0.0873,0.0070,0.5833,0.0000,0.0000,2.1194,1.00,120,8
antipodal_geometry,seen_simple,0.8083,0.0707,0.0685,0.0063,0.0000,0.0000,0.0000,2.3698,1.00,120,8
antipodal_geometry,slippery_contact,0.3750,0.0870,0.0922,0.0068,0.5083,0.0000,0.0000,2.0824,1.00,120,8
antipodal_geometry,task_constraint_shift,0.0667,0.0448,0.0635,0.0050,0.6750,0.0000,0.0000,2.0096,1.00,120,8
antipodal_geometry,thin_handle_shift,0.0000,0.0000,0.0754,0.0068,0.3333,0.0000,0.0000,3.2219,1.00,120,8
antipodal_geometry,unseen_dimensions,0.7333,0.0795,0.0634,0.0072,0.0917,0.0000,0.0000,4.1095,1.00,120,8
antipodal_geometry,unseen_shape_family,0.3667,0.0866,0.0589,0.0066,0.0000,0.0000,0.0000,2.9955,1.00,120,8
calibrated_stacked_ranker,adversarial_clutter_gap,0.0000,0.0000,0.0898,0.0102,0.7500,0.9917,0.0000,2.9256,1.00,120,8
calibrated_stacked_ranker,clutter_collision,0.4750,0.0897,0.0469,0.0057,0.1333,0.5083,0.0000,2.4423,1.00,120,8
calibrated_stacked_ranker,combined_composition_shift,0.0750,0.0473,0.0804,0.0093,0.3667,0.8583,0.0000,3.5786,1.00,120,8
