method,split,seed,mean_success,ci95_success,mean_slip,ci95_slip,drop_rate,collision_rate,unsafe_force_rate,mean_energy,sampled_candidates,episodes,seeds
antipodal_geometry,adversarial_clutter_gap,0,0.0000,0.0000,0.0886,0.0230,0.9333,1.0000,0.0000,1.6769,1.00,15,1
antipodal_geometry,adversarial_clutter_gap,1,0.0000,0.0000,0.0791,0.0215,0.5333,0.9333,0.0000,3.1793,1.00,15,1
antipodal_geometry,adversarial_clutter_gap,2,0.0000,0.0000,0.0936,0.0189,0.8000,1.0000,0.0000,2.9167,1.00,15,1
antipodal_geometry,adversarial_clutter_gap,3,0.0000,0.0000,0.1051,0.0267,0.9333,0.9333,0.0000,1.9241,1.00,15,1
antipodal_geometry,adversarial_clutter_gap,4,0.0000,0.0000,0.0938,0.0278,0.8000,1.0000,0.0000,2.6820,1.00,15,1
antipodal_geometry,adversarial_clutter_gap,5,0.0000,0.0000,0.0727,0.0137,0.5333,1.0000,0.0000,3.6891,1.00,15,1
antipodal_geometry,adversarial_clutter_gap,6,0.0000,0.0000,0.0901,0.0192,0.8667,1.0000,0.0000,2.3192,1.00,15,1
antipodal_geometry,adversarial_clutter_gap,7,0.0000,0.0000,0.0781,0.0221,0.8000,1.0000,0.0000,2.9827,1.00,15,1
antipodal_geometry,clutter_collision,0,0.4000,0.2566,0.0753,0.0261,0.1333,0.5333,0.0000,2.4761,1.00,15,1
antipodal_geometry,clutter_collision,1,0.2667,0.2316,0.0611,0.0120,0.0667,0.7333,0.0000,2.9434,1.00,15,1
antipodal_geometry,clutter_collision,2,0.4000,0.2566,0.0544,0.0197,0.0667,0.6000,0.0000,2.8040,1.00,15,1
antipodal_geometry,clutter_collision,3,0.1333,0.1781,0.0505,0.0137,0.2667,0.8667,0.0000,2.2044,1.00,15,1
antipodal_geometry,clutter_collision,4,0.3333,0.2469,0.0578,0.0260,0.2000,0.6000,0.0000,2.5899,1.00,15,1
antipodal_geometry,clutter_collision,5,0.3333,0.2469,0.0547,0.0170,0.0667,0.5333,0.0000,2.9387,1.00,15,1
antipodal_geometry,clutter_collision,6,0.4667,0.2613,0.0467,0.0151,0.2000,0.5333,0.0000,2.6885,1.00,15,1
antipodal_geometry,clutter_collision,7,0.3333,0.2469,0.0586,0.0121,0.1333,0.6667,0.0000,2.6292,1.00,15,1
antipodal_geometry,combined_composition_shift,0,0.0000,0.0000,0.1294,0.0390,0.6667,0.8667,0.0000,2.7413,1.00,15,1
antipodal_geometry,combined_composition_shift,1,0.0000,0.0000,0.1090,0.0406,0.4000,0.8667,0.0000,3.3577,1.00,15,1
antipodal_geometry,combined_composition_shift,2,0.0667,0.1307,0.0787,0.0254,0.2000,0.8667,0.0000,4.8403,1.00,15,1
antipodal_geometry,combined_composition_shift,3,0.0667,0.1307,0.0897,0.0214,0.4667,0.8000,0.0000,3.4096,1.00,15,1
antipodal_geometry,combined_composition_shift,4,0.0000,0.0000,0.1107,0.0289,0.5333,0.9333,0.0000,3.2562,1.00,15,1
antipodal_geometry,combined_composition_shift,5,0.0667,0.1307,0.0757,0.0171,0.3333,0.8667,0.0000,3.5637,1.00,15,1
antipodal_geometry,combined_composition_shift,6,0.1333,0.1781,0.0639,0.0234,0.1333,0.8667,0.0000,4.5842,1.00,15,1
antipodal_geometry,combined_composition_shift,7,0.0667,0.1307,0.0868,0.0284,0.4667,0.8667,0.0000,3.3799,1.00,15,1
antipodal_geometry,long_bar_high_aspect,0,0.2000,0.2095,0.0668,0.0121,0.7333,0.0000,0.0000,0.7016,1.00,15,1
antipodal_geometry,long_bar_high_aspect,1,0.2667,0.2316,0.0642,0.0107,0.6667,0.0000,0.0000,0.9041,1.00,15,1
antipodal_geometry,long_bar_high_aspect,2,0.1333,0.1781,0.0730,0.0124,0.7333,0.0000,0.0000,0.7310,1.00,15,1
antipodal_geometry,long_bar_high_aspect,3,0.2667,0.2316,0.0715,0.0131,0.6667,0.0000,0.0000,0.8469,1.00,15,1
antipodal_geometry,long_bar_high_aspect,4,0.2000,0.2095,0.0626,0.0081,0.8000,0.0000,0.0000,0.7830,1.00,15,1
antipodal_geometry,long_bar_high_aspect,5,0.2000,0.2095,0.0671,0.0082,0.8000,0.0000,0.0000,0.6651,1.00,15,1
antipodal_geometry,long_bar_high_aspect,6,0.1333,0.1781,0.0662,0.0139,0.8000,0.0000,0.0000,0.7615,1.00,15,1
antipodal_geometry,long_bar_high_aspect,7,0.0667,0.1307,0.0714,0.0135,0.8667,0.0000,0.0000,0.5984,1.00,15,1
antipodal_geometry,material_shift_proxy,0,0.4667,0.2613,0.0896,0.0199,0.5333,0.0000,0.0000,2.0532,1.00,15,1
antipodal_geometry,material_shift_proxy,1,0.2667,0.2316,0.0917,0.0159,0.6000,0.0000,0.0000,2.0945,1.00,15,1
antipodal_geometry,material_shift_proxy,2,0.2000,0.2095,0.0893,0.0196,0.7333,0.0000,0.0000,1.8984,1.00,15,1
