ablation,combined_stress_mean_success,ci95_success,interpretation
full_proposed_branch_mechanism,0.6707,0.0110,all components
minus_branch_atlas,0.5621,0.0266,removes explicit unrealized futures
minus_tail_risk_objective,0.5831,0.0075,uses mean predicted value only
minus_diagnostic_probe,0.5955,0.0183,does not actively test ambiguous physical modes
minus_failure_memory,0.5998,0.0145,does not reuse repaired beliefs
