method,split,mean_success,ci95_success,mean_slip,ci95_slip,drop_rate,collision_rate,unsafe_force_rate,mean_energy,sampled_candidates,episodes,seeds
oracle_mujoco_grid,seen_simple,1.0000,0.0000,0.0192,0.0046,0.0000,0.0000,0.0000,2.5998,6.00,50,5
oracle_mujoco_grid,slippery_contact,0.9000,0.0840,0.0546,0.0079,0.0600,0.0000,0.0000,2.5695,6.00,50,5
oracle_mujoco_grid,task_constraint_shift,0.8600,0.0972,0.0456,0.0076,0.1000,0.0000,0.0000,2.2906,6.00,50,5
oracle_mujoco_grid,unseen_dimensions,0.9800,0.0392,0.0288,0.0067,0.0200,0.0000,0.0000,3.6665,6.00,50,5
oracle_mujoco_grid,unseen_shape_family,1.0000,0.0000,0.0235,0.0043,0.0000,0.0000,0.0000,2.4825,6.00,50,5
random_grasp,clutter_collision,0.0800,0.0760,0.0735,0.0096,0.4600,0.9200,0.0000,1.6933,1.00,50,5
random_grasp,combined_composition_shift,0.0200,0.0392,0.1144,0.0198,0.8000,0.9400,0.0000,1.7493,1.00,50,5
random_grasp,seen_simple,0.8000,0.1120,0.0688,0.0095,0.0400,0.0000,0.0000,2.0349,1.00,50,5
random_grasp,slippery_contact,0.3800,0.1359,0.0867,0.0088,0.4800,0.0000,0.0000,1.7242,1.00,50,5
random_grasp,task_constraint_shift,0.1600,0.1026,0.0811,0.0084,0.6600,0.0000,0.0000,1.6173,1.00,50,5
random_grasp,unseen_dimensions,0.4600,0.1396,0.0776,0.0092,0.4800,0.0000,0.0000,1.5791,1.00,50,5
random_grasp,unseen_shape_family,0.3400,0.1326,0.0643,0.0103,0.0000,0.0000,0.0000,2.6059,1.00,50,5
transformer_policy_ranker,clutter_collision,0.4200,0.1382,0.0546,0.0110,0.1400,0.5000,0.0000,2.4402,1.00,50,5
transformer_policy_ranker,combined_composition_shift,0.0600,0.0665,0.0757,0.0106,0.4200,0.9000,0.0000,2.7368,1.00,50,5
transformer_policy_ranker,seen_simple,0.9600,0.0549,0.0511,0.0082,0.0000,0.0000,0.0000,2.4599,1.00,50,5
transformer_policy_ranker,slippery_contact,0.8600,0.0972,0.0516,0.0090,0.1200,0.0000,0.0000,1.9911,1.00,50,5
transformer_policy_ranker,task_constraint_shift,0.8800,0.0910,0.0614,0.0092,0.0200,0.0000,0.0000,1.6120,1.00,50,5
transformer_policy_ranker,unseen_dimensions,0.8600,0.0972,0.0536,0.0099,0.0200,0.0000,0.0000,1.9270,1.00,50,5
transformer_policy_ranker,unseen_shape_family,0.9400,0.0665,0.0524,0.0085,0.0000,0.0000,0.0000,3.0374,1.00,50,5
