method,split,seed,episode,success,lifted_height,final_xy_error,slip,drop,collision,unsafe_force,max_contact_force,energy,task_satisfied,rollout_score,sampled_candidates,object_energy,contact_energy,task_energy,collision_energy,feasibility_energy,shape,task,friction,jaw_width,angle
random_grasp,seen_simple,0,0,1,0.16558,0.09336,0.09336,0,0,0,40.42698,3.26928,1,0.72551,1,0.10448,0.00949,0.01347,0.00000,0.04183,box,lift,0.8200,0.10285,0.18591
random_grasp,seen_simple,0,1,1,0.16032,0.02752,0.02752,0,0,0,15.68389,1.16041,1,0.86267,1,0.13870,0.19663,0.02848,0.00000,0.04279,box,lift,0.8200,0.12246,-1.97995
random_grasp,seen_simple,0,2,1,0.16555,0.06121,0.06121,0,0,0,23.94861,1.94530,1,0.79247,1,0.18059,0.35539,0.02805,0.00000,0.00640,box,lift,0.8200,0.14281,0.35026
random_grasp,seen_simple,0,3,1,0.16519,0.05675,0.05675,0,0,0,26.79129,2.28728,1,0.80177,1,0.02870,0.02436,0.03989,0.00000,0.02050,box,lift,0.8200,0.08787,1.50087
random_grasp,seen_simple,0,4,1,0.16551,0.01053,0.01053,0,0,0,24.76095,1.82652,1,0.89806,1,0.07755,0.00127,0.02126,0.00000,0.03754,box,lift,0.8200,0.10048,-0.91480
random_grasp,seen_simple,0,5,1,0.16491,0.04116,0.04116,0,0,0,28.46368,2.41905,1,0.83426,1,0.03383,0.02991,0.02977,0.00000,0.02248,box,lift,0.8200,0.08107,2.20490
random_grasp,seen_simple,0,6,1,0.16536,0.01267,0.01267,0,0,0,34.20256,2.85160,1,0.89361,1,0.06817,0.00120,0.04998,0.00000,0.03646,box,lift,0.8200,0.08495,1.41847
random_grasp,seen_simple,0,7,1,0.16558,0.09853,0.09853,0,0,0,32.12641,2.28739,1,0.71473,1,0.13161,0.27134,0.01278,0.00000,0.00090,box,lift,0.8200,0.14032,2.33989
random_grasp,seen_simple,0,8,0,0.16529,0.11927,0.11927,0,0,0,27.35016,1.73231,1,-0.32849,1,0.06958,0.12446,0.04794,0.00000,0.01412,box,lift,0.8200,0.11556,1.34372
random_grasp,seen_simple,0,9,1,0.16489,0.08329,0.08329,0,0,0,12.44209,1.09728,1,0.74648,1,0.14248,0.26477,0.03609,0.00000,0.01524,box,lift,0.8200,0.12110,2.11923
random_grasp,seen_simple,0,10,1,0.16485,0.01961,0.01961,0,0,0,35.59691,2.95493,1,0.87914,1,0.08277,0.11772,0.01823,0.00000,0.02688,box,lift,0.8200,0.11937,-0.49955
random_grasp,seen_simple,0,11,1,0.16494,0.08017,0.08017,0,0,0,31.84296,2.49150,1,0.75298,1,0.06160,0.08817,0.01837,0.00000,0.02342,box,lift,0.8200,0.12623,-3.03428
random_grasp,seen_simple,0,12,1,0.16557,0.02063,0.02063,0,0,0,38.21597,2.93083,1,0.87701,1,0.07033,0.00186,0.02876,0.00000,0.00966,box,lift,0.8200,0.11244,3.11211
random_grasp,seen_simple,0,13,1,0.16557,0.03228,0.03228,0,0,0,36.84414,2.48276,1,0.85276,1,0.07673,0.14663,0.00200,0.00000,0.02353,box,lift,0.8200,0.13708,2.57972
random_grasp,seen_simple,0,14,1,0.16527,0.05639,0.05639,0,0,0,28.14847,2.39999,1,0.80252,1,0.17930,0.33685,0.00940,0.00000,0.01491,box,lift,0.8200,0.13239,-0.03323
random_grasp,seen_simple,1,0,1,0.16547,0.07996,0.07996,0,0,0,26.88650,1.84116,1,0.75341,1,0.03342,0.00799,0.04946,0.00000,0.00980,box,lift,0.8200,0.11458,1.49781
random_grasp,seen_simple,1,1,1,0.16547,0.04490,0.04490,0,0,0,27.28906,2.32369,1,0.82646,1,0.06857,0.12524,0.04684,0.00000,0.00863,box,lift,0.8200,0.09003,-1.78440
random_grasp,seen_simple,1,2,1,0.16449,0.09430,0.09430,0,0,0,22.44284,1.49276,1,0.72355,1,0.08526,0.15335,0.00538,0.00000,0.03861,box,lift,0.8200,0.11807,-0.61037
random_grasp,seen_simple,1,3,0,0.14232,0.15912,0.15912,0,0,0,33.31576,1.58662,1,-0.33000,1,0.11721,0.01138,0.02146,0.00000,0.02428,box,lift,0.8200,0.11085,-0.11142
random_grasp,seen_simple,1,4,1,0.16550,0.00925,0.00925,0,0,0,31.56960,2.63859,1,0.90074,1,0.16523,0.31997,0.02019,0.00000,0.00616,box,lift,0.8200,0.12935,-0.24116
random_grasp,seen_simple,1,5,1,0.16544,0.10290,0.10290,0,0,0,25.12129,2.20204,1,0.70563,1,0.22272,0.42266,0.04975,0.00000,0.01738,box,lift,0.8200,0.09852,1.92826
random_grasp,seen_simple,1,6,1,0.16441,0.08977,0.08977,0,0,0,22.87410,1.29597,1,0.73298,1,0.19015,0.29602,0.01359,0.00000,0.04972,box,lift,0.8200,0.13292,0.57336
random_grasp,seen_simple,1,7,0,0.16532,0.11219,0.11219,0,0,0,39.20992,3.01667,1,-0.31373,1,0.03042,0.01062,0.02150,0.00000,0.01696,box,lift,0.8200,0.12005,-2.62608
random_grasp,seen_simple,1,8,1,0.16476,0.04862,0.04862,0,0,0,20.59906,1.79758,1,0.81871,1,0.20872,0.41105,0.04637,0.00000,0.00596,box,lift,0.8200,0.10767,-1.14273
random_grasp,seen_simple,1,9,1,0.16249,0.02558,0.02558,0,0,0,15.02132,1.23336,1,0.86670,1,0.11337,0.20304,0.03938,0.00000,0.01414,box,lift,0.8200,0.12398,-0.72587
random_grasp,seen_simple,1,10,1,0.16419,0.04629,0.04629,0,0,0,31.82413,1.63579,1,0.82356,1,0.19016,0.38007,0.01598,0.00000,0.00744,box,lift,0.8200,0.14796,-3.13885
random_grasp,seen_simple,1,11,1,0.16438,0.05929,0.05929,0,0,0,22.05236,1.91973,1,0.79648,1,0.18302,0.31449,0.04696,0.00000,0.03009,box,lift,0.8200,0.09613,-1.29860
random_grasp,seen_simple,1,12,1,0.16551,0.01167,0.01167,0,0,0,25.46436,2.18161,1,0.89568,1,0.08238,0.15111,0.04996,0.00000,0.00774,box,lift,0.8200,0.08505,-1.26100
random_grasp,seen_simple,1,13,1,0.16469,0.05509,0.05509,0,0,0,20.98050,1.67104,1,0.80523,1,0.02551,0.00538,0.04951,0.00000,0.02164,box,lift,0.8200,0.09910,1.64717
random_grasp,seen_simple,1,14,1,0.16258,0.03262,0.03262,0,0,0,24.86596,2.13867,1,0.85204,1,0.29888,0.46931,0.03266,0.00000,0.06844,box,lift,0.8200,0.12869,-0.46603
random_grasp,seen_simple,2,0,1,0.16550,0.06205,0.06205,0,0,0,29.65716,2.52792,1,0.79073,1,0.07044,0.13146,0.04985,0.00000,0.02990,box,lift,0.8200,0.08084,1.74535
random_grasp,seen_simple,2,1,1,0.16533,0.01194,0.01194,0,0,0,38.37092,2.93253,1,0.89513,1,0.12081,0.00149,0.02896,0.00000,0.02870,box,lift,0.8200,0.10705,-0.92394
random_grasp,seen_simple,2,2,1,0.16541,0.08723,0.08723,0,0,0,35.04990,2.73759,1,0.73827,1,0.06017,0.09827,0.01268,0.00000,0.01665,box,lift,0.8200,0.13322,0.10386
random_grasp,seen_simple,2,3,1,0.16493,0.09585,0.09585,0,0,0,26.42957,1.58673,1,0.72032,1,0.03232,0.05002,0.04276,0.00000,0.04558,box,lift,0.8200,0.12526,2.33858
random_grasp,seen_simple,2,4,1,0.16465,0.01494,0.01494,0,0,0,25.16262,1.21116,1,0.88887,1,0.22435,0.42620,0.02433,0.00000,0.02562,box,lift,0.8200,0.16291,0.83057
random_grasp,seen_simple,2,5,1,0.16550,0.04010,0.04010,0,0,0,27.97938,1.89549,1,0.83645,1,0.09310,0.00398,0.04989,0.00000,0.00987,box,lift,0.8200,0.10250,-1.51396
random_grasp,seen_simple,2,6,1,0.16524,0.02997,0.02997,0,0,0,27.65289,1.94977,1,0.85756,1,0.10769,0.00269,0.03934,0.00000,0.01639,box,lift,0.8200,0.10658,1.30554
