method,split,seed,episode,success,lifted_height,final_xy_error,slip,drop,collision,unsafe_force,max_contact_force,energy,task_satisfied,rollout_score,sampled_candidates,object_energy,contact_energy,task_energy,collision_energy,feasibility_energy,shape,task,friction,jaw_width,angle
full_ebm_transformer_compositional_v5,combined_composition_shift,0,0,0,-0.00206,0.05950,0.11156,1,1,0,6.07011,0.67733,0,-1.18660,1,0.23137,0.13513,0.00000,0.00000,0.17311,t_shape,clutter_safe,0.3800,0.18000,-0.17400
full_ebm_transformer_compositional_v5,combined_composition_shift,0,1,0,-0.00206,0.03027,0.08232,1,1,0,48.19055,2.55113,0,-1.15151,1,0.21430,0.13590,0.00000,0.00000,0.12750,t_shape,clutter_safe,0.3800,0.18000,-2.80327
full_ebm_transformer_compositional_v5,combined_composition_shift,0,2,0,-0.00206,0.08314,0.13520,1,1,0,24.92182,0.69450,0,-1.20556,1,0.14071,0.12769,0.00000,0.00000,0.14878,t_shape,clutter_safe,0.3800,0.18000,-0.03426
full_ebm_transformer_compositional_v5,combined_composition_shift,0,3,0,-0.00268,0.03195,0.08464,1,1,0,48.93279,2.25074,0,-1.15633,1,0.20211,0.12872,0.00000,0.00000,0.12418,t_shape,clutter_safe,0.3800,0.18000,3.07098
full_ebm_transformer_compositional_v5,combined_composition_shift,0,4,0,0.12445,0.12819,0.12819,0,1,0,104.34923,7.28199,0,-0.68000,1,0.24554,0.13658,0.00000,0.00000,0.13388,t_shape,clutter_safe,0.3800,0.18000,0.21859
full_ebm_transformer_compositional_v5,combined_composition_shift,0,5,0,0.16105,0.04649,0.04649,0,1,0,53.27801,3.65323,0,-0.52684,1,0.19738,0.12619,0.00000,0.00000,0.10545,t_shape,clutter_safe,0.3800,0.18000,-2.84338
full_ebm_transformer_compositional_v5,combined_composition_shift,0,6,0,0.02497,0.06234,0.08737,1,1,0,59.76247,2.63434,0,-1.16201,1,0.19018,0.12878,0.00000,0.00000,0.10237,t_shape,clutter_safe,0.3800,0.18000,-0.07133
full_ebm_transformer_compositional_v5,combined_composition_shift,0,7,0,0.15585,0.04666,0.04666,0,1,0,79.42570,6.51815,0,-0.52720,1,0.13834,0.13059,0.00000,0.00000,0.12064,t_shape,clutter_safe,0.3800,0.18000,-0.18608
full_ebm_transformer_compositional_v5,combined_composition_shift,0,8,0,0.16237,0.04416,0.04416,0,1,0,78.99225,6.46736,0,-0.52199,1,0.18319,0.13100,0.00000,0.00000,0.12147,t_shape,clutter_safe,0.3800,0.18000,-0.15975
full_ebm_transformer_compositional_v5,combined_composition_shift,0,9,0,-0.00206,0.11897,0.17102,1,0,0,0.00000,0.57088,1,-0.84567,1,0.18078,0.13247,0.00000,0.00000,0.14818,t_shape,clutter_safe,0.3800,0.18000,-0.19011
full_ebm_transformer_compositional_v5,combined_composition_shift,0,10,0,0.15803,0.03941,0.03941,0,1,0,62.01786,5.10277,0,-0.51211,1,0.14894,0.13028,0.00000,0.00000,0.11157,t_shape,clutter_safe,0.3800,0.17677,-0.09988
full_ebm_transformer_compositional_v5,combined_composition_shift,0,11,0,0.15599,0.06480,0.06480,0,1,0,62.75170,5.05414,0,-0.56499,1,0.09891,0.13239,0.00000,0.00000,0.13359,t_shape,clutter_safe,0.3800,0.18000,-0.14212
full_ebm_transformer_compositional_v5,combined_composition_shift,0,12,0,-0.00206,0.04882,0.10087,1,1,0,40.60075,1.06895,0,-1.19016,1,0.17109,0.13171,0.00000,0.00000,0.13256,t_shape,clutter_safe,0.3800,0.18000,0.11040
full_ebm_transformer_compositional_v5,combined_composition_shift,0,13,0,-0.00206,0.10030,0.15236,1,1,0,0.00000,0.57374,0,-1.19590,1,0.05325,0.13422,0.03752,0.06253,0.13716,t_shape,clutter_safe,0.3800,0.18000,-0.33395
