scene_id,candidate_id,success,score,lifted_height,slip,collision,unsafe_force,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
0,0,1,0.87978,0.16561,0.01931,0,0,0.052521,0.039278,0.035000,0.045000,0.820000,0.160000,-0.180277,0.983616,0.000000,0.005986,-0.002068,-0.243748,0.969839,0.123762,1.059628,0.018783,0.109920,0.125932,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.216699,0.413743,0.002003,0.000000,0.011400
0,1,1,0.89135,0.16552,0.01375,0,0,0.052521,0.039278,0.035000,0.045000,0.820000,0.160000,-0.180277,0.983616,0.000000,-0.001013,0.006764,0.987804,0.155700,0.075885,0.888506,0.013923,0.081150,0.064881,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.026746,0.031629,0.049938,0.000000,0.012311
0,2,0,-0.30170,0.16543,0.10642,0,0,0.052521,0.039278,0.035000,0.045000,0.820000,0.160000,-0.180277,0.983616,0.000000,0.005713,0.002627,-0.309557,0.950881,0.102296,0.993418,-0.102141,0.114561,0.107056,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.037745,0.010214,0.005417,0.000000,0.011317
0,3,1,0.75998,0.16542,0.07681,0,0,0.052521,0.039278,0.035000,0.045000,0.820000,0.160000,-0.180277,0.983616,0.000000,0.006919,0.012711,0.991063,0.133395,0.070978,0.954340,-0.077348,0.083452,0.149479,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.094081,0.007735,0.049869,0.000000,0.026050
0,4,1,0.74895,0.16192,0.08210,0,0,0.052521,0.039278,0.035000,0.045000,0.820000,0.160000,-0.180277,0.983616,0.000000,0.003937,-0.001090,0.418026,0.908435,0.109239,0.849410,0.046715,0.131110,0.166809,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.093753,0.004671,0.029757,0.000000,0.007353
0,5,0,-0.88000,0.02531,0.16280,0,0,0.052521,0.039278,0.035000,0.045000,0.820000,0.160000,-0.180277,0.983616,0.000000,0.001462,-0.024005,-0.526488,0.850183,0.143156,1.020020,0.112010,0.126452,0.132094,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.252978,0.435389,0.017065,0.000000,0.043289
0,6,1,0.77490,0.16558,0.06965,0,0,0.052521,0.039278,0.035000,0.045000,0.820000,0.160000,-0.180277,0.983616,0.000000,0.002376,-0.003410,0.334786,-0.942294,0.111807,1.183141,0.067410,0.116222,0.037987,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.049080,0.090768,0.006740,0.000000,0.020209
0,7,1,0.89830,0.16548,0.01042,0,0,0.052521,0.039278,0.035000,0.045000,0.820000,0.160000,-0.180277,0.983616,0.000000,-0.001653,-0.004697,-0.186757,0.982406,0.119548,0.838467,0.005664,0.105557,0.132545,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.221010,0.425656,0.000915,0.000000,0.008963
0,8,1,0.73782,0.16560,0.08745,0,0,0.052521,0.039278,0.035000,0.045000,0.820000,0.160000,-0.180277,0.983616,0.000000,0.000317,-0.004045,0.995976,0.089620,0.078046,0.966699,0.087368,0.087828,0.111369,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.038268,0.008737,0.049662,0.000000,0.007304
0,9,1,0.89321,0.16553,0.01286,0,0,0.052521,0.039278,0.035000,0.045000,0.820000,0.160000,-0.180277,0.983616,0.000000,0.000382,-0.010215,-0.986381,0.164474,0.096393,0.917588,0.012527,0.109559,0.120179,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.057557,0.001253,0.046591,0.000000,0.018400
