method,mean_success,ci95_success,mean_slip,ci95_slip,drop_rate,collision_rate,unsafe_force_rate,mean_energy,sampled_candidates,episodes,seeds
antipodal_geometry,0.2947,0.0246,0.0741,0.0022,0.3879,0.2258,0.0000,2.6027,1.00,1320,8
calibrated_stacked_ranker,0.7394,0.0237,0.0545,0.0020,0.1432,0.2144,0.0000,2.4929,1.00,1320,8
cem_grasp_search,0.4470,0.0268,0.0684,0.0022,0.3682,0.2250,0.0000,2.4983,1.00,1320,8
collision_aware_force_closure,0.4265,0.0267,0.0677,0.0021,0.4106,0.2250,0.0000,2.4792,1.00,1320,8
ebm_transformer_compositional,0.6386,0.0259,0.0609,0.0022,0.1932,0.2220,0.0000,2.5222,1.00,1320,8
ebm_transformer_compositional_v5,0.6674,0.0254,0.0582,0.0020,0.2038,0.2220,0.0000,2.6137,1.00,1320,8
ensemble_uncertainty_ranker,0.7470,0.0235,0.0579,0.0021,0.1409,0.2167,0.0000,2.3026,1.00,1320,8
force_closure_score,0.4379,0.0268,0.0673,0.0021,0.3886,0.2288,0.0000,2.4102,1.00,1320,8
gradient_boosted_energy_model,0.7470,0.0235,0.0539,0.0020,0.1447,0.2167,0.0000,2.2685,1.00,1320,8
mlp_energy_model,0.6894,0.0250,0.0527,0.0020,0.1894,0.2227,0.0000,2.1707,1.00,1320,8
oracle_mujoco_grid,0.7712,0.0227,0.0362,0.0017,0.0689,0.1591,0.0000,2.6907,7.00,1320,8
random_grasp,0.2742,0.0241,0.0784,0.0025,0.5348,0.2621,0.0000,1.7840,1.00,1320,8
robust_perturbation_ranker,0.4098,0.0265,0.0697,0.0021,0.4364,0.2265,0.0000,2.4437,1.00,1320,8
transformer_policy_ranker,0.6788,0.0252,0.0551,0.0020,0.1765,0.2273,0.0000,2.2234,1.00,1320,8
