method,split,mean_success,ci95_success,mean_slip,ci95_slip,drop_rate,collision_rate,unsafe_force_rate,mean_energy,sampled_candidates,episodes,seeds,stress_level
calibrated_stacked_ranker,stress_0.00,1.0000,0.0000,0.0360,0.0052,0.0000,0.0000,0.0000,2.6838,1.00,80,8,0.00
calibrated_stacked_ranker,stress_0.20,1.0000,0.0000,0.0418,0.0051,0.0000,0.0000,0.0000,2.5283,1.00,80,8,0.20
calibrated_stacked_ranker,stress_0.40,0.9750,0.0344,0.0492,0.0065,0.0125,0.5750,0.0000,2.6408,1.00,80,8,0.40
calibrated_stacked_ranker,stress_0.60,0.2000,0.0882,0.0827,0.0188,0.4500,0.6750,0.0000,3.4595,1.00,80,8,0.60
calibrated_stacked_ranker,stress_0.80,0.0250,0.0344,0.0801,0.0097,0.7000,0.9000,0.0000,1.9002,1.00,80,8,0.80
calibrated_stacked_ranker,stress_1.00,0.0000,0.0000,0.0728,0.0047,0.8875,1.0000,0.0000,1.1529,1.00,80,8,1.00
cem_grasp_search,stress_0.00,0.9125,0.0623,0.0467,0.0076,0.0000,0.0000,0.0000,2.4607,1.00,80,8,0.00
cem_grasp_search,stress_0.20,0.9000,0.0662,0.0507,0.0079,0.0000,0.0000,0.0000,3.6504,1.00,80,8,0.20
cem_grasp_search,stress_0.40,0.8125,0.0861,0.0596,0.0078,0.1375,0.1250,0.0000,5.7342,1.00,80,8,0.40
cem_grasp_search,stress_0.60,0.1375,0.0759,0.0936,0.0132,0.5875,0.7250,0.0000,2.7316,1.00,80,8,0.60
cem_grasp_search,stress_0.80,0.0375,0.0419,0.0776,0.0104,0.7875,0.9375,0.0000,1.3884,1.00,80,8,0.80
cem_grasp_search,stress_1.00,0.0000,0.0000,0.0782,0.0038,0.9750,1.0000,0.0000,0.9581,1.00,80,8,1.00
collision_aware_force_closure,stress_0.00,0.8750,0.0729,0.0523,0.0079,0.0000,0.0000,0.0000,2.5011,1.00,80,8,0.00
collision_aware_force_closure,stress_0.20,0.9000,0.0662,0.0533,0.0084,0.0125,0.0000,0.0000,3.7892,1.00,80,8,0.20
collision_aware_force_closure,stress_0.40,0.8000,0.0882,0.0602,0.0083,0.1125,0.1375,0.0000,5.8795,1.00,80,8,0.40
collision_aware_force_closure,stress_0.60,0.1875,0.0861,0.0960,0.0222,0.5250,0.6250,0.0000,3.1012,1.00,80,8,0.60
collision_aware_force_closure,stress_0.80,0.0375,0.0419,0.0773,0.0104,0.7625,0.9500,0.0000,1.4105,1.00,80,8,0.80
collision_aware_force_closure,stress_1.00,0.0000,0.0000,0.0772,0.0037,0.9750,1.0000,0.0000,0.9407,1.00,80,8,1.00
ebm_transformer_compositional_v5,stress_0.00,0.9875,0.0245,0.0388,0.0058,0.0000,0.0000,0.0000,2.5877,1.00,80,8,0.00
ebm_transformer_compositional_v5,stress_0.20,1.0000,0.0000,0.0392,0.0056,0.0000,0.0000,0.0000,3.1832,1.00,80,8,0.20
